"category","action","sourcePath","destinationPath","mappingRule","reviewReason","size","sha256","remoteExists","remoteSize","remoteEtag","remoteContentType","databaseReferenced"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/offices/offices_1.png","nouns/offices/offices_1.png","preserve_relative_path","","1918085","459c7fe8edc408280685099f42b7947fa9455ed97a8f413685b86804d7704fdd","true","1918085","053113a91644c742678cdeed21429a2d","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/offices/offices_2.png","nouns/offices/offices_2.png","preserve_relative_path","","1361117","8ed545cf1e79337b80b6cdd297e7c4753bcf305e52f6e11a71b04c32563313df","true","1361117","00b3be72ce17bc3b773dba4d1f324765","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/offices/offices_3.png","nouns/offices/offices_3.png","preserve_relative_path","","2086355","5ef2ffb198ea1785c4f14a4bd7da6edad542c0746b07a788014508b88693be41","true","2086355","623a3cbdea07904550ea4c4273e57e33","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/omelette/omelette_1.png","nouns/omelette/omelette_1.png","preserve_relative_path","","1469170","c47c5c3f30007ad6819517ff51a7c51fdd46be4a4d52a21d07c586603f997aec","true","1469170","94913f405513a8e36116d6eabdc816b9","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/omelette/omelette_2.png","nouns/omelette/omelette_2.png","preserve_relative_path","","1775108","dd8f5d1b871f95fc7a424008ceb2853364a5a15a8f238ede715cd7529cbdd2d3","true","1775108","f70c2cc2753bdaa76efa9aaef1a68433","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/one_hundred_thousand/one_hundred_thousand_1.png","nouns/one_hundred_thousand/one_hundred_thousand_1.png","preserve_relative_path","","438426","a72d31b6e9c80de31d33087bfe287b6e256a5ae9a4885ea6680cfd9c285a5927","true","438426","8e4ec7963afda1948e8a893b9056ca55","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/one_hundred/one_hundred_1.png","nouns/one_hundred/one_hundred_1.png","preserve_relative_path","","720817","0312236fe2f768e17162dc6d8fae8a4b2e4225a07e026493ec702811d5a7732f","true","720817","f6efb9a6357e930ffb438fb50e33633e","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/one_million/one_million_1.png","nouns/one_million/one_million_1.png","preserve_relative_path","","440400","2771ebb528f3430c56c4b1279248d8aec43a5b3243bb2fbbb490d1b4be265733","true","440400","cab3c6666a7ecdd1f56ed552073c788c","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/one_oclock/one_oclock_1.png","nouns/one_oclock/one_oclock_1.png","preserve_relative_path","","25492","f44abe9eda03a6a032520ad91d7ddec8459968781787e60ca78f2804f3977a15","true","25492","d87da9f0874f0a1241f675502c5ce0de","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/one_oclock/one_oclock_2.png","nouns/one_oclock/one_oclock_2.png","preserve_relative_path","","625483","1a9bf92a632955319f055afc7d26eb83d080278c979b0afa0448cad7816060bb","true","625483","b4ad7ea12801361bd34b3fd527b1f14b","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/one_oclock/one_oclock_3.png","nouns/one_oclock/one_oclock_3.png","preserve_relative_path","","48342","744073f02ee618aef7b80befcd171dc6735f6d17bc8aa68dd56a411341eec471","true","48342","5367d271cf11978e969a5885a19cc2c6","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/one_thousand/one_thousand_1.png","nouns/one_thousand/one_thousand_1.png","preserve_relative_path","","516349","0612a023b152b3310604919ce0dd9144e6670ffb83ead4ca20b76b03deacb200","true","516349","37f50340adab61753b320f17953211a3","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/one/one_1.png","nouns/one/one_1.png","preserve_relative_path","","521055","e4e10a64dd1b955849c9cd873d28074614b67d498f68588666ed306f1b736e5e","true","521055","4fb6585af58d6e283681081ddf3fd0a9","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/onion/onion_1.png","nouns/onion/onion_1.png","preserve_relative_path","","941600","a408aa8d5ea2920d34c4d41c025b1cd6a0ab30a1e761147fc9c90a974dd16b9f","true","941600","132560f78aa96e7aad9365a65e45ab56","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/onion/onion_2.png","nouns/onion/onion_2.png","preserve_relative_path","","1253191","95d95c5c534173b54283b4947d7037af71527fcbb6b3e9447695dddeeb54febc","true","1253191","5b2e9568d7d9c3358993d103622bad12","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/onion/onion_3.png","nouns/onion/onion_3.png","preserve_relative_path","","1344484","dc8c1e1169cb30ad5dd3e60e52a326a2dc3ffe0196c5a88140d0fb076061d893","true","1344484","26756e37c1ee6340d99cf0ec11626507","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/orange/orange_1.png","nouns/orange/orange_1.png","preserve_relative_path","","953475","d3b724442e361e01af21d04affcbef9e945f7d7243d57b686bd4b95fc190499a","true","953475","ea50838cf1c8ec857ff34443a6ef9d6b","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/orange/orange_2.png","nouns/orange/orange_2.png","preserve_relative_path","","1026769","44c02ce2e18265df449e7c9e9d93a8a3d3f9385833b14170517883bdc760e15e","true","1026769","e62bddbe869945e0b88b087420dc65b1","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/orange/orange_3.png","nouns/orange/orange_3.png","preserve_relative_path","","679006","a6d1d1fa90b03a61294c593de45f64bb87cab471befd0de7a2ea2899e11950dd","true","679006","86f337c7912b2af0fe584353b7739698","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/orca/orca_1.png","nouns/orca/orca_1.png","preserve_relative_path","","694342","de593531f3255d87c386bfb9de1e2e8079bbd3e6b30db7254238785833b8fb28","true","694342","f3457040d2a03c5f3d73422ec827269a","image/png","false"
